"L","epsilon"
0,0.
100,2.232382460030012
200,4.464764920060024
300,6.697147380090036
400,8.929529840120049
500,11.16191230015006
600,13.394294760180072
700,15.626677220210086
800,17.859059680240097
900,20.091442140270107
1000,22.32382460030012
1100,24.556207060330134
1200,26.788589520360144
1300,29.020971980390158
1400,31.25335444042017
1500,33.485736900450185
1600,35.718119360480195
1700,37.950501820510205
1800,40.182884280540215
1900,42.41526674057023
2000,44.64764920060024
2100,46.88003166063025
2200,49.11241412066027
2300,51.34479658069028
2400,53.57717904072029
2500,55.809561500750306
2600,58.041943960780316
2700,60.274326420810326
2800,62.50670888084034
2900,64.73909134087035
3000,66.97147380090037
3100,69.20385626093038
3200,71.43623872096039
3300,73.6686211809904
3400,75.90100364102041
3500,78.13338610105042
3600,80.36576856108043
3700,82.59815102111045
3800,84.83053348114046
3900,87.06291594117047
4000,89.29529840120048
4100,91.5276808612305
4200,93.7600633212605
4300,95.99244578129053
4400,98.22482824132054
4500,100.45721070135055
4600,102.68959316138056
4700,104.92197562141057
4800,107.15435808144058
4900,109.38674054147059
5000,111.61912300150061
5100,113.85150546153062
5200,116.08388792156063
5300,118.31627038159064
5400,120.54865284162065
5500,122.78103530165066
5600,125.01341776168069
5700,127.2458002217107
5800,129.4781826817407
5900,131.7105651417707
6000,133.94294760180074
6100,136.17533006183075
6200,138.40771252186076
6300,140.64009498189077
6400,142.87247744192078
6500,145.1048599019508
6600,147.3372423619808
6700,149.5696248220108
6800,151.80200728204082
6900,154.03438974207083
7000,156.26677220210084
7100,158.49915466213085
7200,160.73153712216086
7300,162.9639195821909
7400,165.1963020422209
7500,167.42868450225092
7600,169.66106696228093
7700,171.89344942231094
7800,174.12583188234095
7900,176.35821434237096
8000,178.59059680240097
8100,180.82297926243098
8200,183.055361722461
8300,185.287744182491
8400,187.520126642521
8500,189.75250910255102
8600,191.98489156258105
8700,194.21727402261106
8800,196.44965648264107
8900,198.68203894267108
9000,200.9144214027011
9100,203.1468038627311
9200,205.37918632276111
9300,207.61156878279112
9400,209.84395124282113
9500,212.07633370285114
9600,214.30871616288115
9700,216.54109862291116
9800,218.77348108294117
9900,221.0058635429712
10000,223.23824600300122
10100,225.47062846303123
10200,227.70301092306124
10300,229.93539338309125
10400,232.16777584312126
10500,234.40015830315127
10600,236.63254076318128
10700,238.8649232232113
10800,241.0973056832413
10900,243.3296881432713
11000,245.56207060330132
11100,247.79445306333133
11200,250.02683552336137
11300,252.25921798339138
11400,254.4916004434214
11500,256.7239829034514
11600,258.9563653634814
11700,261.1887478235114
11800,263.4211302835414
11900,265.65351274357147
12000,267.8858952036015
12100,270.1182776636315
12200,272.3506601236615
12300,274.5830425836915
12400,276.8154250437215
12500,279.0478075037515
12600,281.28018996378154
12700,283.51257242381155
12800,285.74495488384156
12900,287.97733734387157
13000,290.2097198039016
13100,292.4421022639316
13200,294.6744847239616
13300,296.9068671839916
13400,299.1392496440216
13500,301.3716321040516
13600,303.60401456408164
13700,305.83639702411165
13800,308.06877948414166
13900,310.30116194417167
14000,312.5335444042017
14100,314.7659268642317
14200,316.9983093242617
14300,319.2306917842917
14400,321.4630742443217
14500,323.6954567043518
14600,325.9278391643818
14700,328.1602216244118
14800,330.3926040844418
14900,332.6249865444718
15000,334.85736900450183
15100,337.08975146453184
15200,339.32213392456185
15300,341.55451638459186
15400,343.7868988446219
15500,346.0192813046519
15600,348.2516637646819
15700,350.4840462247119
15800,352.7164286847419
15900,354.9488111447719
16000,357.18119360480193
16100,359.41357606483194
16200,361.64595852486195
16300,363.87834098489196
16400,366.110723444922
16500,368.343105904952
16600,370.575488364982
16700,372.807870825012
16800,375.040253285042
16900,377.272635745072
17000,379.50501820510203
17100,381.7374006651321
17200,383.9697831251621
17300,386.2021655851921
17400,388.43454804522213
17500,390.66693050525214
17600,392.89931296528215
17700,395.13169542531216
17800,397.36407788534217
17900,399.5964603453722
18000,401.8288428054022
18100,404.0612252654322
18200,406.2936077254622
18300,408.5259901854922
18400,410.75837264552223
18500,412.99075510555224
18600,415.22313756558225
18700,417.45552002561226
18800,419.68790248564227
18900,421.9202849456723
19000,424.1526674057023
19100,426.3850498657323
19200,428.6174323257623
19300,430.8498147857923
19400,433.08219724582233
19500,435.31457970585234
19600,437.54696216588235
19700,439.7793446259124
19800,442.0117270859424
19900,444.24410954597244
20000,446.47649200600245
20100,448.70887446603246
20200,450.94125692606247
20300,453.1736393860925
20400,455.4060218461225
20500,457.6384043061525
20600,459.8707867661825
20700,462.1031692262125
20800,464.3355516862425
20900,466.56793414627253
21000,468.80031660630254
21100,471.03269906633255
21200,473.26508152636256
21300,475.4974639863926
21400,477.7298464464226
21500,479.9622289064526
21600,482.1946113664826
21700,484.4269938265126
21800,486.6593762865426
21900,488.89175874657263
22000,491.12414120660264
22100,493.35652366663265
22200,495.58890612666266
22300,497.8212885866927
22400,500.05367104672274
22500,502.28605350675275
22600,504.51843596678276
22700,506.75081842681277
22800,508.9832008868428
22900,511.2155833468728
23000,513.4479658069027
23100,515.6803482669328
23200,517.9127307269628
23300,520.1451131869928
23400,522.3774956470228
23500,524.6098781070529
23600,526.8422605670828
23700,529.0746430271129
23800,531.3070254871429
23900,533.5394079471729
24000,535.771790407203
24100,538.0041728672329
24200,540.236555327263
24300,542.4689377872929
24400,544.701320247323
24500,546.933702707353
24600,549.166085167383
24700,551.398467627413
24800,553.630850087443
24900,555.863232547473
25000,558.095615007503
25100,560.327997467533
25200,562.5603799275631
25300,564.792762387593
25400,567.0251448476231
25500,569.257527307653
25600,571.4899097676831
25700,573.7222922277131
25800,575.9546746877431
25900,578.1870571477731
26000,580.4194396078032
26100,582.6518220678331
26200,584.8842045278632
26300,587.1165869878932
26400,589.3489694479232
26500,591.5813519079533
26600,593.8137343679832
26700,596.0461168280133
26800,598.2784992880432
26900,600.5108817480733
27000,602.7432642081033
27100,604.9756466681333
27200,607.2080291281633
27300,609.4404115881933
27400,611.6727940482233
27500,613.9051765082534
27600,616.1375589682833
27700,618.3699414283134
27800,620.6023238883433
27900,622.8347063483734
28000,625.0670888084034
28100,627.2994712684334
28200,629.5318537284634
28300,631.7642361884934
28400,633.9966186485234
28500,636.2290011085535
28600,638.4613835685834
28700,640.6937660286135
28800,642.9261484886434
28900,645.1585309486735
29000,647.3909134087036
29100,649.6232958687335
29200,651.8556783287636
29300,654.0880607887935
29400,656.3204432488236
29500,658.5528257088536
29600,660.7852081688836
29700,663.0175906289136
29800,665.2499730889436
29900,667.4823555489736
30000,669.7147380090037
30100,671.9471204690336
30200,674.1795029290637
30300,676.4118853890936
30400,678.6442678491237
30500,680.8766503091537
30600,683.1090327691837
30700,685.3414152292137
30800,687.5737976892437
30900,689.8061801492737
31000,692.0385626093038
31100,694.2709450693337
31200,696.5033275293638
31300,698.7357099893937
31400,700.9680924494238
31500,703.2004749094538
31600,705.4328573694838
31700,707.6652398295139
31800,709.8976222895438
31900,712.1300047495739
32000,714.3623872096039
32100,716.5947696696339
32200,718.8271521296639
32300,721.059534589694
32400,723.2919170497239
32500,725.524299509754
32600,727.7566819697839
32700,729.989064429814
32800,732.221446889844
32900,734.453829349874
33000,736.686211809904
33100,738.918594269934
33200,741.150976729964
33300,743.383359189994
33400,745.615741650024
33500,747.8481241100541
33600,750.080506570084
33700,752.3128890301141
33800,754.545271490144
33900,756.7776539501741
34000,759.0100364102041
34100,761.2424188702341
34200,763.4748013302642
34300,765.7071837902942
34400,767.9395662503242
34500,770.1719487103542
34600,772.4043311703842
34700,774.6367136304142
34800,776.8690960904443
34900,779.1014785504742
35000,781.3338610105043
35100,783.5662434705342
35200,785.7986259305643
35300,788.0310083905943
35400,790.2633908506243
35500,792.4957733106543
35600,794.7281557706843
35700,796.9605382307143
35800,799.1929206907444
35900,801.4253031507743
36000,803.6576856108044
36100,805.8900680708343
36200,808.1224505308644
36300,810.3548329908944
36400,812.5872154509244
36500,814.8195979109544
36600,817.0519803709844
36700,819.2843628310144
36800,821.5167452910445
36900,823.7491277510745
37000,825.9815102111045
37100,828.2138926711345
37200,830.4462751311645
37300,832.6786575911946
37400,834.9110400512245
37500,837.1434225112546
37600,839.3758049712845
37700,841.6081874313146
37800,843.8405698913446
37900,846.0729523513746
38000,848.3053348114046
38100,850.5377172714346
38200,852.7700997314646
38300,855.0024821914947
38400,857.2348646515246
38500,859.4672471115547
38600,861.6996295715846
38700,863.9320120316147
38800,866.1643944916447
38900,868.3967769516747
